"id","no","sort","permission_group_id","name","user_group_id","url","auth","method","status","created","modified"
"1","1","1","1","編集","2","/baser/admin/bc-content-link/content_links/edit/*","1","POST","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"2","2","2","2","新規登録","2","/baser/api/admin/bc-content-link/content_links/add.json","1","POST","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"3","3","3","2","削除","2","/baser/api/admin/bc-content-link/content_links/delete/*.json","1","POST","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"4","4","4","2","編集","2","/baser/api/admin/bc-content-link/content_links/edit/*.json","1","POST","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"5","5","5","2","単一取得","2","/baser/api/admin/bc-content-link/content_links/view/*.json","1","GET","1","2024-08-04 16:36:43","2024-08-04 16:36:43"
"6","6","6","3","新規登録","2","/baser/admin/bc-uploader/uploader_categories/add","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"7","7","7","3","コピー","2","/baser/admin/bc-uploader/uploader_categories/copy/*","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"8","8","8","3","削除","2","/baser/admin/bc-uploader/uploader_categories/delete/*","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"9","9","9","3","編集","2","/baser/admin/bc-uploader/uploader_categories/edit/*","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"10","10","10","3","一覧","2","/baser/admin/bc-uploader/uploader_categories/index","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"11","11","11","4","編集","2","/baser/admin/bc-uploader/uploader_configs/index",,"POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"12","12","12","5","検索ボックス取得","2","/baser/admin/bc-uploader/uploader_files/ajax_get_search_box*","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"13","13","13","5","画像取得","2","/baser/admin/bc-uploader/uploader_files/ajax_image/*","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"14","14","14","5","一覧取得","2","/baser/admin/bc-uploader/uploader_files/ajax_index*","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"15","15","15","5","リスト取得","2","/baser/admin/bc-uploader/uploader_files/ajax_list*","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"16","16","16","5","削除","2","/baser/admin/bc-uploader/uploader_files/delete/*","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"17","17","17","5","編集","2","/baser/admin/bc-uploader/uploader_files/edit/*","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"18","18","18","5","一覧","2","/baser/admin/bc-uploader/uploader_files/index","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"19","19","19","6","一覧取得","2","/baser/api/admin/bc-uploader/uploader_categories/index.json","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"20","20","20","6","新規追加","2","/baser/api/admin/bc-uploader/uploader_categories/add.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"21","21","21","6","編集","2","/baser/api/admin/bc-uploader/uploader_categories/edit/*.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"22","22","22","6","削除","2","/baser/api/admin/bc-uploader/uploader_categories/delete/*.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"23","23","23","6","コピー","2","/baser/api/admin/bc-uploader/uploader_categories/copy/*.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"24","24","24","6","一括処理","2","/baser/api/admin/bc-uploader/uploader_categories/batch.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"25","25","25","7","設定取得","2","/baser/api/admin/bc-uploader/uploader_categories/view.json","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"26","26","26","7","編集","2","/baser/api/admin/bc-uploader/uploader_categories/edit.json",,"POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"27","27","27","8","一覧取得","2","/baser/api/admin/bc-uploader/uploader_files/index.json","1","GET","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"28","28","28","8","新規追加","2","/baser/api/admin/bc-uploader/uploader_files/add.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"29","29","29","8","編集","2","/baser/api/admin/bc-uploader/uploader_files/edit/*.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"30","30","30","8","削除","2","/baser/api/admin/bc-uploader/uploader_files/delete/*.json","1","POST","1","2024-08-04 16:37:14","2024-08-04 16:37:14"
"31","31","31","9","フルアクセス","2","/baser/api/admin/bc-favorite/favorites/*.json","1","*","1","2024-08-04 16:38:06","2024-08-04 16:38:06"
"32","32","32","10","新規追加","2","/baser/admin/bc-editor-template/editor_templates/add","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"33","33","33","10","削除","2","/baser/admin/bc-editor-template/editor_templates/delete/*","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"34","34","34","10","編集","2","/baser/admin/bc-editor-template/editor_templates/edit/*","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"35","35","35","10","一覧","2","/baser/admin/bc-editor-template/editor_templates/index","1","GET","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"36","36","36","10","JS取得","2","/baser/admin/bc-editor-template/editor_templates/js","1","GET","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"37","37","37","11","新規登録","2","/baser/api/admin/bc-editor-template/editor_templates/add.json","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"38","38","38","11","削除","2","/baser/api/admin/bc-editor-template/editor_templates/delete/*.json","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"39","39","39","11","編集","2","/baser/api/admin/bc-editor-template/editor_templates/edit/*.json","1","POST","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"40","40","40","11","一覧取得","2","/baser/api/admin/bc-editor-template/editor_templates/index.json","1","GET","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"41","41","41","11","リスト取得","2","/baser/api/admin/bc-editor-template/editor_templates/list.json","1","GET","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"42","42","42","11","単一取得","2","/baser/api/admin/bc-editor-template/editor_templates/view/*.json","1","GET","1","2024-08-10 10:30:00","2024-08-10 10:30:00"
"43","43","43","12","ファイル新規登録","2","/baser/admin/bc-theme-file/theme_files/add/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"44","44","44","12","フォルダ新規登録","2","/baser/admin/bc-theme-file/theme_files/add_folder/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"45","45","45","12","ファイルコピー","2","/baser/admin/bc-theme-file/theme_files/copy/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"46","46","46","12","フォルダコピー","2","/baser/admin/bc-theme-file/theme_files/copy_folder/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"47","47","47","12","フォルダをテーマにコピー","2","/baser/admin/bc-theme-file/theme_files/copy_folder_to_theme/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"48","48","48","12","ファイルをテーマにコピー","2","/baser/admin/bc-theme-file/theme_files/copy_to_theme/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"49","49","49","12","ファイル削除","2","/baser/admin/bc-theme-file/theme_files/delete/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"50","50","50","12","フォルダ削除","2","/baser/admin/bc-theme-file/theme_files/delete_folder/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"51","51","51","12","ファイル編集","2","/baser/admin/bc-theme-file/theme_files/edit/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"52","52","52","12","フォルダ編集","2","/baser/admin/bc-theme-file/theme_files/edit_folder/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"53","53","53","12","画像取得","2","/baser/admin/bc-theme-file/theme_files/img/*",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"54","54","54","12","サムネイル画像取得","2","/baser/admin/bc-theme-file/theme_files/img_thumb/*",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"55","55","55","12","一覧","2","/baser/admin/bc-theme-file/theme_files/index/*",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"56","56","56","12","ファイルアップロード","2","/baser/admin/bc-theme-file/theme_files/upload/*",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"57","57","57","12","ファイル表示","2","/baser/admin/bc-theme-file/theme_files/view/*",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"58","58","58","12","フォルダ表示","2","/baser/admin/bc-theme-file/theme_files/view_folder/*",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"59","59","59","13","新規登録","2","/baser/api/admin/bc-theme-file/theme_files/add.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"60","60","60","13","編集","2","/baser/api/admin/bc-theme-file/theme_files/edit.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"61","61","61","13","削除","2","/baser/api/admin/bc-theme-file/theme_files/delete.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"62","62","62","13","コピー","2","/baser/api/admin/bc-theme-file/theme_files/copy.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"63","63","63","13","ファイルをテーマにコピー","2","/baser/api/admin/bc-theme-file/theme_files/copy_to_theme.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"64","64","64","13","単一取得","2","/baser/api/admin/bc-theme-file/theme_files/view.json",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"65","65","65","13","画像取得","2","/baser/api/admin/bc-theme-file/theme_files/img.json",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"66","66","66","13","サムネイル画像取得","2","/baser/api/admin/bc-theme-file/theme_files/img_thumb.json",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"67","67","67","14","一覧","2","/baser/api/admin/bc-theme-file/theme_folders/index.json",,"GET","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"68","68","68","14","新規登録","2","/baser/api/admin/bc-theme-file/theme_folders/add.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
"69","69","69","14","編集","2","/baser/api/admin/bc-theme-file/theme_folders/edit.json",,"POST","1","2024-08-10 10:30:07","2024-08-10 10:30:07"
